785571560581173248,74ceb7c6a46a5beb0910a670a50859fd8af49d024f4bdbd2aab0cc78b7c2c9be,Clinton,Positive
796632516878802944,74ceb7c6a46a5beb0910a670a50859fd8af49d024f4bdbd2aab0cc78b7c2c9be,Trump,Negative
804039899372515328,74ceb7c6a46a5beb0910a670a50859fd8af49d024f4bdbd2aab0cc78b7c2c9be,Trump,Negative
